format,commodity,digit,count,observed_pct,expected_pct,residual,interpretation
X (qty per shekel),BARLEY,1,155,0.31,0.3010299956639812,0.0089700043360188,observed more than expected
X (qty per shekel),BARLEY,2,68,0.136,0.1760912590556812,-0.0400912590556812,observed less than expected
X (qty per shekel),BARLEY,3,68,0.136,0.1249387366082999,0.011061263391700105,observed more than expected
X (qty per shekel),BARLEY,4,49,0.098,0.0969100130080564,0.0010899869919435978,good match (~0)
X (qty per shekel),BARLEY,5,36,0.072,0.0791812460476248,-0.007181246047624809,observed less than expected
X (qty per shekel),BARLEY,6,35,0.07,0.0669467896306132,0.0030532103693868134,good match (~0)
X (qty per shekel),BARLEY,7,29,0.058,0.0579919469776867,8.053022313304903e-06,good match (~0)
X (qty per shekel),BARLEY,8,16,0.032,0.0511525224473812,-0.0191525224473812,observed less than expected
X (qty per shekel),BARLEY,9,44,0.088,0.0457574905606751,0.04224250943932489,observed more than expected
X (qty per shekel),DATES,1,101,0.2359813084112149,0.3010299956639812,-0.0650486872527663,observed less than expected
X (qty per shekel),DATES,2,54,0.1261682242990654,0.1760912590556812,-0.0499230347566158,observed less than expected
X (qty per shekel),DATES,3,69,0.161214953271028,0.1249387366082999,0.036276216662728095,observed more than expected
X (qty per shekel),DATES,4,55,0.1285046728971962,0.0969100130080564,0.03159465988913979,observed more than expected
X (qty per shekel),DATES,5,32,0.0747663551401869,0.0791812460476248,-0.004414890907437907,good match (~0)
X (qty per shekel),DATES,6,38,0.0887850467289719,0.0669467896306132,0.02183825709835871,observed more than expected
X (qty per shekel),DATES,7,27,0.0630841121495327,0.0579919469776867,0.005092165171846005,observed more than expected
X (qty per shekel),DATES,8,23,0.0537383177570093,0.0511525224473812,0.0025857953096281028,good match (~0)
X (qty per shekel),DATES,9,29,0.0677570093457943,0.0457574905606751,0.0219995187851192,observed more than expected
X (qty per shekel),MUSTARD,1,39,0.1969696969696969,0.3010299956639812,-0.10406029869428429,observed less than expected
X (qty per shekel),MUSTARD,2,58,0.2929292929292929,0.1760912590556812,0.11683803387361166,observed more than expected
X (qty per shekel),MUSTARD,3,25,0.1262626262626262,0.1249387366082999,0.0013238896543262824,good match (~0)
X (qty per shekel),MUSTARD,4,21,0.106060606060606,0.0969100130080564,0.009150593052549588,observed more than expected
X (qty per shekel),MUSTARD,5,26,0.1313131313131313,0.0791812460476248,0.052131885265506495,observed more than expected
X (qty per shekel),MUSTARD,6,8,0.0404040404040404,0.0669467896306132,-0.026542749226572793,observed less than expected
X (qty per shekel),MUSTARD,7,15,0.0757575757575757,0.0579919469776867,0.017765628779889006,observed more than expected
X (qty per shekel),MUSTARD,8,0,0.0,0.0511525224473812,-0.0511525224473812,observed less than expected
X (qty per shekel),MUSTARD,9,6,0.0303030303030303,0.0457574905606751,-0.015454460257644801,observed less than expected
X (qty per shekel),CRESS,1,36,0.1706161137440758,0.3010299956639812,-0.1304138819199054,observed less than expected
X (qty per shekel),CRESS,2,33,0.1563981042654028,0.1760912590556812,-0.019693154790278417,observed less than expected
X (qty per shekel),CRESS,3,26,0.1232227488151658,0.1249387366082999,-0.0017159877931341022,good match (~0)
X (qty per shekel),CRESS,4,21,0.0995260663507109,0.0969100130080564,0.002616053342654495,good match (~0)
X (qty per shekel),CRESS,5,10,0.0473933649289099,0.0791812460476248,-0.0317878811187149,observed less than expected
X (qty per shekel),CRESS,6,31,0.1469194312796208,0.0669467896306132,0.0799726416490076,observed more than expected
X (qty per shekel),CRESS,7,25,0.1184834123222748,0.0579919469776867,0.0604914653445881,observed more than expected
X (qty per shekel),CRESS,8,14,0.0663507109004739,0.0511525224473812,0.015198188453092697,observed more than expected
X (qty per shekel),CRESS,9,15,0.0710900473933649,0.0457574905606751,0.025332556832689798,observed more than expected
X (qty per shekel),SESAME,1,84,0.3054545454545455,0.3010299956639812,0.0044245497905642805,good match (~0)
X (qty per shekel),SESAME,2,61,0.2218181818181818,0.1760912590556812,0.045726922762500594,observed more than expected
X (qty per shekel),SESAME,3,46,0.1672727272727272,0.1249387366082999,0.04233399066442731,observed more than expected
X (qty per shekel),SESAME,4,14,0.0509090909090909,0.0969100130080564,-0.04600092209896551,observed less than expected
X (qty per shekel),SESAME,5,6,0.0218181818181818,0.0791812460476248,-0.057363064229443005,observed less than expected
X (qty per shekel),SESAME,6,15,0.0545454545454545,0.0669467896306132,-0.012401335085158692,observed less than expected
X (qty per shekel),SESAME,7,15,0.0545454545454545,0.0579919469776867,-0.003446492432232197,good match (~0)
X (qty per shekel),SESAME,8,15,0.0545454545454545,0.0511525224473812,0.0033929320980733008,good match (~0)
X (qty per shekel),SESAME,9,19,0.069090909090909,0.0457574905606751,0.023333418530233893,observed more than expected
X (qty per shekel),WOOL 0.5 kg p. Shekel,1,40,0.2061855670103092,0.3010299956639812,-0.09484442865367199,observed less than expected
X (qty per shekel),WOOL 0.5 kg p. Shekel,2,48,0.2474226804123711,0.1760912590556812,0.07133142135668988,observed more than expected
X (qty per shekel),WOOL 0.5 kg p. Shekel,3,36,0.1855670103092783,0.1249387366082999,0.0606282737009784,observed more than expected
X (qty per shekel),WOOL 0.5 kg p. Shekel,4,33,0.1701030927835051,0.0969100130080564,0.0731930797754487,observed more than expected
X (qty per shekel),WOOL 0.5 kg p. Shekel,5,19,0.0979381443298969,0.0791812460476248,0.018756898282272103,observed more than expected
X (qty per shekel),WOOL 0.5 kg p. Shekel,6,16,0.0824742268041237,0.0669467896306132,0.015527437173510503,observed more than expected
X (qty per shekel),WOOL 0.5 kg p. Shekel,7,1,0.0051546391752577,0.0579919469776867,-0.052837307802429,observed less than expected
X (qty per shekel),WOOL 0.5 kg p. Shekel,8,1,0.0051546391752577,0.0511525224473812,-0.0459978832721235,observed less than expected
X (qty per shekel),WOOL 0.5 kg p. Shekel,9,0,0.0,0.0457574905606751,-0.0457574905606751,observed less than expected
X (qty per shekel),ALL,1,455,0.251937984496124,0.3010299956639812,-0.04909201116785722,observed less than expected
X (qty per shekel),ALL,2,322,0.1782945736434108,0.1760912590556812,0.002203314587729599,good match (~0)
X (qty per shekel),ALL,3,270,0.1495016611295681,0.1249387366082999,0.02456292452126818,observed more than expected
X (qty per shekel),ALL,4,193,0.1068660022148394,0.0969100130080564,0.009955989206782992,observed more than expected
X (qty per shekel),ALL,5,129,0.0714285714285714,0.0791812460476248,-0.007752674619053407,observed less than expected
X (qty per shekel),ALL,6,143,0.0791805094130675,0.0669467896306132,0.012233719782454314,observed more than expected
X (qty per shekel),ALL,7,112,0.0620155038759689,0.0579919469776867,0.004023556898282203,good match (~0)
X (qty per shekel),ALL,8,69,0.0382059800664451,0.0511525224473812,-0.0129465423809361,observed less than expected
X (qty per shekel),ALL,9,113,0.0625692137320044,0.0457574905606751,0.0168117231713293,observed more than expected
1/X (shekel per unit),BARLEY,1,158,0.316,0.3010299956639812,0.014970004336018805,observed more than expected
1/X (shekel per unit),BARLEY,2,84,0.168,0.1760912590556812,-0.0080912590556812,observed less than expected
1/X (shekel per unit),BARLEY,3,62,0.124,0.1249387366082999,-0.000938736608299906,good match (~0)
1/X (shekel per unit),BARLEY,4,37,0.074,0.0969100130080564,-0.02291001300805641,observed less than expected
1/X (shekel per unit),BARLEY,5,32,0.064,0.0791812460476248,-0.015181246047624802,observed less than expected
1/X (shekel per unit),BARLEY,6,22,0.044,0.0669467896306132,-0.022946789630613196,observed less than expected
1/X (shekel per unit),BARLEY,7,26,0.052,0.0579919469776867,-0.0059919469776867,observed less than expected
1/X (shekel per unit),BARLEY,8,46,0.092,0.0511525224473812,0.0408474775526188,observed more than expected
1/X (shekel per unit),BARLEY,9,33,0.066,0.0457574905606751,0.0202425094393249,observed more than expected
1/X (shekel per unit),DATES,1,148,0.3457943925233644,0.3010299956639812,0.044764396859383215,observed more than expected
1/X (shekel per unit),DATES,2,86,0.2009345794392523,0.1760912590556812,0.024843320383571094,observed more than expected
1/X (shekel per unit),DATES,3,69,0.161214953271028,0.1249387366082999,0.036276216662728095,observed more than expected
1/X (shekel per unit),DATES,4,24,0.0560747663551401,0.0969100130080564,-0.0408352466529163,observed less than expected
1/X (shekel per unit),DATES,5,30,0.0700934579439252,0.0791812460476248,-0.009087788103699604,observed less than expected
1/X (shekel per unit),DATES,6,27,0.0630841121495327,0.0669467896306132,-0.00386267748108049,good match (~0)
1/X (shekel per unit),DATES,7,12,0.02803738317757,0.0579919469776867,-0.0299545638001167,observed less than expected
1/X (shekel per unit),DATES,8,14,0.0327102803738317,0.0511525224473812,-0.018442242073549497,observed less than expected
1/X (shekel per unit),DATES,9,18,0.0420560747663551,0.0457574905606751,-0.0037014157943199982,good match (~0)
1/X (shekel per unit),MUSTARD,1,55,0.2777777777777778,0.3010299956639812,-0.023252217886203408,observed less than expected
1/X (shekel per unit),MUSTARD,2,42,0.2121212121212121,0.1760912590556812,0.03602995306553089,observed more than expected
1/X (shekel per unit),MUSTARD,3,39,0.1969696969696969,0.1249387366082999,0.072030960361397,observed more than expected
1/X (shekel per unit),MUSTARD,4,22,0.1111111111111111,0.0969100130080564,0.014201098103054699,observed more than expected
1/X (shekel per unit),MUSTARD,5,28,0.1414141414141414,0.0791812460476248,0.062232895366516605,observed more than expected
1/X (shekel per unit),MUSTARD,6,2,0.0101010101010101,0.0669467896306132,-0.0568457795296031,observed less than expected
1/X (shekel per unit),MUSTARD,7,2,0.0101010101010101,0.0579919469776867,-0.0478909368766766,observed less than expected
1/X (shekel per unit),MUSTARD,8,4,0.0202020202020202,0.0511525224473812,-0.030950502245361,observed less than expected
1/X (shekel per unit),MUSTARD,9,4,0.0202020202020202,0.0457574905606751,-0.0255554703586549,observed less than expected
1/X (shekel per unit),CRESS,1,98,0.4644549763033175,0.3010299956639812,0.1634249806393363,observed more than expected
1/X (shekel per unit),CRESS,2,33,0.1563981042654028,0.1760912590556812,-0.019693154790278417,observed less than expected
1/X (shekel per unit),CRESS,3,16,0.0758293838862559,0.1249387366082999,-0.049109352722044,observed less than expected
1/X (shekel per unit),CRESS,4,28,0.1327014218009478,0.0969100130080564,0.03579140879289139,observed more than expected
