format,commodity,digit,count,observed_pct,expected_pct,residual,interpretation
X (qty per shekel),BARLEY,1,195,0.2813852813852814,0.3010299956639812,-0.019644714278699793,observed less than expected
X (qty per shekel),BARLEY,2,93,0.1341991341991342,0.1760912590556812,-0.041892124856547,observed less than expected
X (qty per shekel),BARLEY,3,98,0.1414141414141414,0.1249387366082999,0.016475404805841504,observed more than expected
X (qty per shekel),BARLEY,4,72,0.1038961038961039,0.0969100130080564,0.006986090888047497,observed more than expected
X (qty per shekel),BARLEY,5,60,0.0865800865800865,0.0791812460476248,0.00739884053246169,observed more than expected
X (qty per shekel),BARLEY,6,54,0.0779220779220779,0.0669467896306132,0.010975288291464713,observed more than expected
X (qty per shekel),BARLEY,7,44,0.0634920634920634,0.0579919469776867,0.005500116514376707,observed more than expected
X (qty per shekel),BARLEY,8,21,0.0303030303030303,0.0511525224473812,-0.0208494921443509,observed less than expected
X (qty per shekel),BARLEY,9,56,0.0808080808080808,0.0457574905606751,0.0350505902474057,observed more than expected
X (qty per shekel),DATES,1,143,0.2504378283712785,0.3010299956639812,-0.05059216729270272,observed less than expected
X (qty per shekel),DATES,2,80,0.1401050788091068,0.1760912590556812,-0.035986180246574406,observed less than expected
X (qty per shekel),DATES,3,85,0.148861646234676,0.1249387366082999,0.023922909626376082,observed more than expected
X (qty per shekel),DATES,4,64,0.1120840630472854,0.0969100130080564,0.01517405003922899,observed more than expected
X (qty per shekel),DATES,5,33,0.0577933450087565,0.0791812460476248,-0.021387901038868305,observed less than expected
X (qty per shekel),DATES,6,47,0.0823117338003502,0.0669467896306132,0.015364944169737008,observed more than expected
X (qty per shekel),DATES,7,40,0.0700525394045534,0.0579919469776867,0.012060592426866704,observed more than expected
X (qty per shekel),DATES,8,33,0.0577933450087565,0.0511525224473812,0.006640822561375298,observed more than expected
X (qty per shekel),DATES,9,46,0.0805604203152364,0.0457574905606751,0.0348029297545613,observed more than expected
X (qty per shekel),MUSTARD,1,39,0.1725663716814159,0.3010299956639812,-0.1284636239825653,observed less than expected
